id,nafis_raw_id,nafis_price_date,county,town,variety,commodity,unit,kg,code,rowno,price,average,max,min,price_date
8404,1241,2011-01-02,Kisii,Kisii,HORTICULTURE,Passion Fruits,Bag,57,25,39,3040,3299,5700,1311,02/01/2011
8405,1242,2011-01-02,Kisii,Kisii,HORTICULTURE,Oranges,Bag,93,24,40,3600,2859,3960,1900,02/01/2011
8406,1243,2011-01-02,Kisii,Kisii,HORTICULTURE,Lemons,Bag,95,16,41,3100,1400,800,1000,02/01/2011
8407,1244,2011-01-02,Kisii,Kisii,HORTICULTURE,Mangoes Local,Bag,126,21,42,1535,1535,900,1200,02/01/2011
8408,1245,2011-01-02,Kisii,Kisii,HORTICULTURE,Mangoes Ngowe,Sm Basket,25,36,43,843,843,840,2500,02/01/2011
8409,1246,2011-01-02,Kisii,Kisii,HORTICULTURE,Limes,net,13,18,44,657,657,785,526,02/01/2011
8410,1247,2011-01-02,Kisii,Kisii,HORTICULTURE,Pineapples,Dozen,12.8000002,28,45,466.666656,826,644,1133,02/01/2011
8411,1248,2011-01-02,Kisii,Kisii,HORTICULTURE,Pawpaw,Lg Box,54,26,46,633.333313,1325,850,1620,02/01/2011
8412,1249,2011-01-02,Kisii,Kisii,HORTICULTURE,Avocado,Bag,90,1,47,1066.66663,2119,900,1067,02/01/2011
8413,1250,2011-01-02,Kisii,Kisii,HORTICULTURE,Kales,Bag,50,15,48,433.333344,753,900,1080,02/01/2011
8414,1251,2011-01-02,Kisii,Kisii,OTHERS,Eggs,Tray,5,47,49,330,278,330,246,02/01/2011
8415,253,2011-12-09,Kisii,Kisii,CEREAL,Dry Maize,Bag,90,20,8,3800,3180,3800,2500,09/12/2011
8416,254,2011-12-09,Kisii,Kisii,CEREAL,Green Maize,Ext Bag,115,19,9,2633,2633,4500,1500,09/12/2011
8417,255,2011-12-09,Kisii,Kisii,CEREAL,Finger Millet,Bag,90,41,10,5200,5162,7200,4050,09/12/2011
8418,256,2011-12-09,Kisii,Kisii,CEREAL,Sorghum,Bag,90,42,11,3694,3694,5400,2600,09/12/2011
8419,257,2011-12-09,Kisii,Kisii,CEREAL,Wheat,Bag,90,48,12,3780,3780,5400,2900,09/12/2011
8420,258,2011-12-09,Kisii,Kisii,LEGUMES,Beans Canadian,Bag,90,4,13,5200,5900,7200,4200,09/12/2011
8421,259,2011-12-09,Kisii,Kisii,LEGUMES,Beans Rosecoco,Bag,90,5,14,5200,5252,7000,4200,09/12/2011
8422,260,2011-12-09,Kisii,Kisii,LEGUMES,Beans Mwitemania,Bag,90,7,15,5200,5322,6900,4000,09/12/2011
8423,261,2011-12-09,Kisii,Kisii,LEGUMES,Mwezi Moja,Bag,90,6,16,5333,5333,7000,3800,09/12/2011
8424,262,2011-12-09,Kisii,Kisii,OTHERS,Beans Dolichos (Njahi),Bag,90,0,17,6914,6914,9000,5200,09/12/2011
8425,263,2011-12-09,Kisii,Kisii,LEGUMES,Green Gram,Bag,90,46,18,8022,8022,9400,10800,09/12/2011
8426,264,2011-12-09,Kisii,Kisii,LEGUMES,Cowpeas,Bag,90,45,19,7546,7546,8550,10000,09/12/2011
8427,265,2011-12-09,Kisii,Kisii,LEGUMES,Fresh Peas,Bag,51,27,20,2023,2023,3500,1100,09/12/2011
8428,266,2011-12-09,Kisii,Kisii,LEGUMES,Groundnuts,Bag,110,44,21,9600,11155,9600,11000,09/12/2011
8429,267,2011-12-09,Kisii,Kisii,ROOTS & TUBERS,Red Irish Potatoes,Bag,110,29,22,3300,3056,4500,2200,09/12/2011
8430,268,2011-12-09,Kisii,Kisii,ROOTS & TUBERS,White Irish Potatoes,Bag,110,30,23,3300,3056,4500,2300,09/12/2011
8431,269,2011-12-09,Kisii,Kisii,ROOTS & TUBERS,Cassava Fresh,Bag,98.8000031,43,24,1960,1960,800,1600,09/12/2011
8432,270,2011-12-09,Kisii,Kisii,ROOTS & TUBERS,Sweet Potatoes,Bag,98,31,25,1900,2182,900,1500,09/12/2011
8433,271,2011-12-09,Kisii,Kisii,HORTICULTURE,Cabbages,Ext Bag,126,9,26,1000,1293,900,1000,09/12/2011
8434,272,2011-12-09,Kisii,Kisii,HORTICULTURE,Cooking Bananas,Med Bunch,22,2,27,400,460,700,250,09/12/2011
8435,273,2011-12-09,Kisii,Kisii,HORTICULTURE,Ripe Bananas,Med Bunch,14,3,28,481,481,700,300,09/12/2011
8436,274,2011-12-09,Kisii,Kisii,HORTICULTURE,Carrots,Ext Bag,138,13,29,2000,2027,800,1200,09/12/2011
