county,nafis_date,variety,commodity,unit,kg,nafis_prices,season,avg_temp,max_temp,min_temp,precipitation_mm,annual_avg_inflation,twelve_month_inflation,household_sizes,total_household_demand_kg
Kisumu,16/08/2018,Horticulture,Kales,Bag,50,0,peak,29,29,17,1,4.96,4.05,271261,1660118
Kisumu,17/08/2018,Horticulture,Kales,Bag,50,0,peak,29,35,16,3,4.96,4.05,271261,1660118
Kisumu,18/08/2018,Horticulture,Kales,Bag,50,0,peak,29,35,16,3,4.96,4.05,271261,1660118
Kisumu,19/08/2018,Horticulture,Kales,Bag,50,0,peak,29,34,15,3,4.96,4.05,271261,1660118
Kisumu,20/08/2018,Horticulture,Kales,Bag,50,0,peak,29,35,15,0,4.96,4.05,271261,1660118
Kisumu,21/08/2018,Horticulture,Kales,Bag,50,0,peak,29,36,16,0,4.96,4.05,271261,1660118
Kisumu,22/08/2018,Horticulture,Kales,Bag,50,0,peak,29,36,16,7,4.96,4.05,271261,1660118
Kisumu,23/08/2018,Horticulture,Kales,Bag,50,0,peak,29,34,16,7,4.96,4.05,271261,1660118
Kisumu,24/08/2018,Horticulture,Kales,Bag,50,0,peak,29,33,15,0,4.96,4.05,271261,1660118
Kisumu,25/08/2018,Horticulture,Kales,Bag,50,0,peak,29,33,15,1,4.96,4.05,271261,1660118
Kisumu,26/08/2018,Horticulture,Kales,Bag,50,0,peak,29,34,16,2,4.96,4.05,271261,1660118
Kisumu,27/08/2018,Horticulture,Kales,Bag,50,0,peak,29,33,15,2,4.96,4.05,271261,1660118
Kisumu,28/08/2018,Horticulture,Kales,Bag,50,0,peak,29,33,16,1,4.96,4.05,271261,1660118
Kisumu,29/08/2018,Horticulture,Kales,Bag,50,0,peak,29,33,16,0,4.96,4.05,271261,1660118
Kisumu,30/08/2018,Horticulture,Kales,Bag,50,0,peak,29,33,15,0,4.96,4.05,271261,1660118
Kisumu,31/08/2018,Horticulture,Kales,Bag,50,0,peak,30,33,16,0,4.56,4.91,271261,1660118
Kisumu,01/09/2018,Horticulture,Kales,Bag,50,0,normal,30,34,16,1,4.56,4.91,272166,1665656
